"","date","Noro_G2_norm_PMMoV_trimmed5","marketscan_cases"
"339",2023-12-05,0.0239642305697664,5
"340",2023-12-06,0.0242046360637176,3
"341",2023-12-07,0.0245014451857953,10
"342",2023-12-08,0.0248522399845236,7
"343",2023-12-09,0.025284527759329,7
"344",2023-12-10,0.0257433794489337,5
"345",2023-12-11,0.0268441844395393,12
"346",2023-12-12,0.0276584291093846,14
"347",2023-12-13,0.0281094107092847,8
"348",2023-12-14,0.0284021915966271,7
"349",2023-12-15,0.0285482231052765,8
"350",2023-12-16,0.0288467647070388,5
"351",2023-12-17,0.0290612952508417,3
"352",2023-12-18,0.0298428408942811,10
"353",2023-12-19,0.031811884927909,16
"354",2023-12-20,0.0343324297782755,10
"355",2023-12-21,0.0356018979390289,13
"356",2023-12-22,0.0365713654551986,4
"357",2023-12-23,0.0375617630048416,9
"358",2023-12-24,0.0385590665617999,6
"359",2023-12-25,0.0396238799235032,15
"360",2023-12-26,0.0406640019046262,7
"361",2023-12-27,0.0419127313985565,8
"362",2023-12-28,0.0422362666600688,12
"363",2023-12-29,0.0432310335104843,8
"364",2023-12-30,0.0434845596197115,6
"365",2023-12-31,0.043753881631491,13
"366",2024-01-01,0.0439606557430145,8
"367",2024-01-02,0.0434133697564673,8
"368",2024-01-03,0.042550972199336,10
"369",2024-01-04,0.0425150508411335,9
"370",2024-01-05,0.0419640168718702,4
"371",2024-01-06,0.0413900322595635,5
"372",2024-01-07,0.0408309683275553,2
"373",2024-01-08,0.040503616189333,8
"374",2024-01-09,0.0401957342062257,9
"375",2024-01-10,0.0398688223536718,6
"376",2024-01-11,0.0395303346732694,6
"377",2024-01-12,0.0391235673093919,11
"378",2024-01-13,0.0393831433580037,4
"379",2024-01-14,0.0396616574214227,1
"380",2024-01-15,0.0400273283530237,7
"381",2024-01-16,0.0400857186464892,6
"382",2024-01-17,0.0404715996535275,5
"383",2024-01-18,0.0408707515428045,9
"384",2024-01-19,0.0414353333822603,9
"385",2024-01-20,0.0421937329543734,8
"386",2024-01-21,0.0422027893960308,5
"387",2024-01-22,0.0431130922638902,10
"388",2024-01-23,0.0437212293590118,12
"389",2024-01-24,0.0440336862326259,7
"390",2024-01-25,0.0447997035628659,7
"391",2024-01-26,0.0449296300606692,9
"392",2024-01-27,0.0452160486690342,5
"393",2024-01-28,0.0455388551770768,4
"394",2024-01-29,0.0462542853797168,15
"395",2024-01-30,0.0470143380516847,10
"396",2024-01-31,0.0473285536371178,16
"397",2024-02-01,0.0467274242175841,14
"398",2024-02-02,0.04616214346314,8
"399",2024-02-03,0.0462581825312216,4
"400",2024-02-04,0.046377328973241,5
"401",2024-02-05,0.0465558104101196,13
"402",2024-02-06,0.0473231586807612,5
"403",2024-02-07,0.0475370046185846,11
"404",2024-02-08,0.0477674352581544,8
"405",2024-02-09,0.0481220032807412,6
"406",2024-02-10,0.0491435650656338,9
"407",2024-02-11,0.0501810760207574,5
"408",2024-02-12,0.0509570175348874,6
"409",2024-02-13,0.0528974066881855,13
"410",2024-02-14,0.0550005503959711,13
"411",2024-02-15,0.056140426946847,13
"412",2024-02-16,0.0576633648797485,14
"413",2024-02-17,0.0582937034470662,9
"414",2024-02-18,0.058912642958502,7
"415",2024-02-19,0.0598099190304829,10
"416",2024-02-20,0.0603105917051936,13
"417",2024-02-21,0.0612599416833819,15
"418",2024-02-22,0.0629596580179352,14
"419",2024-02-23,0.0642198078268349,14
"420",2024-02-24,0.0650058885648915,1
"421",2024-02-25,0.0657392319816778,9
"422",2024-02-26,0.0668195142478752,16
"423",2024-02-27,0.0673073659872523,13
"424",2024-02-28,0.0666827051951899,23
"425",2024-02-29,0.0667612591710106,15
"426",2024-03-01,0.0660077196193548,17
"427",2024-03-02,0.066193823311543,14
"428",2024-03-03,0.0663285698128207,11
"429",2024-03-04,0.0671643480305995,16
"430",2024-03-05,0.0663036828095222,20
"431",2024-03-06,0.0660248532615502,18
"432",2024-03-07,0.0653118310522533,14
"433",2024-03-08,0.0649527691951014,17
"434",2024-03-09,0.064868982298704,9
"435",2024-03-10,0.0648022387621771,9
"436",2024-03-11,0.0656546858896627,21
"437",2024-03-12,0.0653053638471187,15
"438",2024-03-13,0.0647425332661737,13
"439",2024-03-14,0.0637601230898189,12
"440",2024-03-15,0.0633438833630086,15
"441",2024-03-16,0.0631022159880962,15
"442",2024-03-17,0.0630239538216498,1
"443",2024-03-18,0.0631263351214116,11
"444",2024-03-19,0.0643642094861922,12
"445",2024-03-20,0.0643505167674359,19
"446",2024-03-21,0.0649602989139521,9
"447",2024-03-22,0.0650670518979138,15
"448",2024-03-23,0.0647276314684821,8
"449",2024-03-24,0.0643851541771125,7
"450",2024-03-25,0.0656837765150773,18
"451",2024-03-26,0.0680126268931178,18
"452",2024-03-27,0.0684598901311129,16
"453",2024-03-28,0.0737551039965287,9
"454",2024-03-29,0.0752046278385309,8
"455",2024-03-30,0.0753845010261794,12
"456",2024-03-31,0.075576880447183,8
"457",2024-04-01,0.075450185673222,10
"458",2024-04-02,0.0765539556949841,13
"459",2024-04-03,0.0774969166698092,11
"460",2024-04-04,0.0752028115975404,13
"461",2024-04-05,0.075888508581778,12
"462",2024-04-06,0.0752604021217751,8
"463",2024-04-07,0.0746173767440926,6
"464",2024-04-08,0.0740865052120559,13
